Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
OBND,SPDR Loomis Sayles Opportunistic Bond ETF,Bond,"$45,671,800",0.33%,"5,667",$25.39,0.08%,No,False,0.64%,-1.19%,6.43%,2.69%,N/A,"-$2,580,472.40",$0.00,$0.00,"$9,172,329.60","$8,846,894.90","$22,324,574.15",Total Bond Market,2021-09-27,0.55%,N/A,$1.66,2025-04-01,$0.13,6.55%,0.00,0.35,386,36.26%,40%,20%,1099,$25.06,$26.03,$25.37,$25.43,43.75,C,C+,N/A,B+,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
QCON,American Century Quality Convertible Securities ETF,Bond,"$45,598,800",-3.30%,"3,886",$43.77,0.25%,No,False,1.20%,-1.70%,8.69%,1.38%,N/A,$0.00,$0.00,$0.00,"$2,773,262.00","$18,093,056.00","$46,134,842.00",Preferred Stock/Convertible Bonds,2021-02-16,0.32%,N/A,$1.22,2025-04-01,$0.13,2.79%,0.00,0.57,106,19.49%,40%,20%,1099,$42.27,$45.72,$43.69,$43.85,44.74,C,A,N/A,C+,C+,N/A,6.31,0.00%,44.02%,238.77,6.38%,10.50%
MKOR,Matthews Korea Active ETF,Equity,"$45,109,200",4.25%,"2,603",$21.65,0.23%,No,False,4.32%,-1.10%,-8.31%,N/A,N/A,"-$1,320,840.00",$0.00,$0.00,"-$9,946,260.00","-$9,633,670.52","-$9,633,670.52",Asia Pacific Equities,2023-07-17,0.79%,N/A,$1.10,2024-12-18,$1.10,5.04%,N/A,N/A,39,52.70%,40%,20%,1099,$20.25,$22.73,$21.60,$21.76,50.01,N/A,B-,N/A,N/A,B-,N/A,5.52,44.44%,28.04%,121.81,13.16%,4.11%
MMKT,Texas Capital Government Money Market ETF,Bond,"$45,099,000",N/A,N/A,N/A,0.00%,No,False,N/A,N/A,N/A,N/A,N/A,"$2,503,750.00",$0.00,$0.00,"$42,557,000.00","$42,557,000.00","$42,557,000.00",Money Market,2024-09-24,0.20%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24,58.01%,40%,20%,1099,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,5.89,64.60%,34.27%,1280.01,1.98%,0.02%
IHYF,Invesco High Yield Bond Factor ETF,Bond,"$44,864,800",-1.48%,"24,911",$21.78,0.28%,No,False,1.02%,-2.60%,6.82%,4.28%,N/A,"-$7,111,340.00",$0.00,"-$12,050,640.00","-$6,623,740.00","$8,745,250.00","$35,860,020.00",High Yield Bonds,2020-12-02,0.39%,N/A,$1.63,2025-03-24,$0.14,7.48%,0.00,0.41,299,8.99%,40%,20%,1099,$21.26,$22.80,$21.77,$21.80,41.78,C,B+,N/A,B+,A,N/A,5.52,49.65%,28.01%,280.24,4.95%,2.39%
DALT,Anfield Diversified Alternatives ETF,Multi-Asset,"$44,650,000",3.85%,"29,559",$8.90,-0.11%,No,False,-0.15%,-0.09%,11.16%,-1.52%,0.59%,$0.00,$0.00,$0.00,"-$893,000.00","-$18,510,500.00","-$18,243,500.00",Diversified Portfolio,2017-09-28,2.92%,N/A,$0.34,2024-04-18,$0.03,3.77%,0.03,0.87,2,100.00%,40%,20%,1099,$8.84,$9.02,$8.88,$8.91,53.87,B+,C,B,C+,B+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
TDSE,Cabana Target Drawdown 16 ETF,Multi-Asset,"$44,255,300",-2.57%,"8,846",$22.61,-0.04%,No,False,-2.57%,2.46%,5.90%,-2.02%,N/A,$0.00,$0.00,$0.00,$0.00,"-$115,750,650.00","-$119,064,400.00",Diversified Portfolio,2020-09-16,0.82%,N/A,$0.79,2023-12-26,$0.33,3.48%,0.03,0.51,11,99.73%,40%,20%,1099,$22.15,$23.60,$22.57,$22.68,53.55,A-,B,C+,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
VMAX,Hartford US Value ETF,Volatility,"$44,124,400",-6.84%,208,$44.51,0.88%,No,False,2.01%,-5.85%,1.07%,N/A,N/A,$0.00,$0.00,$0.00,"$44,592,340.00","$49,544,636.48","$49,544,636.48",Volatility,2023-12-06,0.29%,N/A,$0.97,2025-03-25,$0.25,2.18%,0.00,-3.09,152,18.16%,40%,20%,1099,$41.45,$50.39,$44.51,$44.51,42.03,N/A,B+,N/A,N/A,N/A,N/A,6.61,68.88%,56.26%,199.2,9.69%,3.38%
JULZ,TrueShares Structured Outcome (July) ETF,Volatility,"$43,973,200",-7.35%,"9,432",$38.56,0.31%,No,False,0.56%,-4.33%,5.36%,7.68%,N/A,"$13,779,869.00",$0.00,"$11,685,988.00","$24,440,763.00","$28,843,095.00","$40,932,947.50",Volatility Hedged Equity,2020-06-30,0.79%,N/A,$1.37,2024-12-27,$1.37,3.56%,0.00,0.68,4,99.99%,40%,20%,1099,$37.02,$41.68,N/A,N/A,42.42,B+,B-,A-,B+,C,N/A,5.86,55.26%,33.72%,0.0,0.00%,0.00%
AZAL,AllianzIM U.S. Large Cap Buffer10 Jul ETF,Volatility,"$43,785,900",-5.35%,"22,102",$27.75,1.72%,No,False,2.90%,5.04%,-3.80%,N/A,N/A,$0.00,$0.00,$0.00,$0.00,"$34,622,630.00","$42,396,340.00",Volatility Hedged Equity,2020-06-30,0.74%,N/A,$1.03,2020-12-15,$1.03,3.55%,26.06,0.46,2,100.00%,40%,20%,1099,$25.91,$27.71,$27.54,$27.89,56.57,C,B+,N/A,B,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FSYD,Fidelity Sustainable High Yield ETF,Bond,"$43,780,000",-0.73%,"11,556",$46.32,0.39%,No,False,1.73%,-1.38%,8.25%,4.94%,N/A,"$7,270,256.03",$0.00,"-$2,270,267.70","$25,047,164.35","$35,483,859.00","$35,483,859.00",High Yield Bonds,2022-02-15,0.56%,N/A,$3.15,2025-03-28,$0.28,6.83%,0.00,0.54,406,14.13%,40%,20%,1099,$45.00,$47.82,$46.23,$46.46,46.57,C,C+,N/A,N/A,N/A,N/A,6.08,88.18%,37.86%,242.1,3.89%,2.81%
AOTG,AOT Growth and Innovation ETF,Equity,"$43,255,200",-15.99%,"1,437",$37.53,-0.19%,No,False,0.02%,-7.64%,3.89%,N/A,N/A,"$1,720,024.00","$376,132.00","$376,132.00","$7,433,100.00","$32,224,746.00","$32,224,746.00",All Cap Equities,2022-06-29,0.75%,N/A,$0.00,N/A,N/A,0.00%,0.04,-1.84,52,55.86%,40%,20%,1099,$34.51,$43.13,$37.49,$37.60,42.67,C+,C+,N/A,C,C+,N/A,7.02,91.90%,73.48%,20.94,4.98%,10.30%
SAGP,Strategas Global Policy Opportunities ETF,Equity,"$42,936,000",3.16%,"4,575",$29.39,0.24%,No,False,2.68%,-2.95%,14.94%,4.77%,N/A,"$5,417,326.21","$855,322.64","$3,234,713.19","$2,913,531.73","$28,496,720.95","$36,195,877.31",All Cap Equities,2022-01-26,0.65%,N/A,$0.63,2024-12-30,$0.63,2.16%,0.00,0.82,101,21.85%,40%,20%,1099,$27.67,$31.48,$29.29,$29.48,48.03,B-,B-,B-,A,B,N/A,6.99,54.74%,72.36%,73.55,22.33%,15.27%
UMAY,Innovator U.S. Equity Ultra Buffer ETF - May,Equity,"$42,855,900",-5.70%,"4,902",$31.70,-0.06%,No,False,-0.78%,-5.22%,4.52%,3.52%,N/A,"-$5,081,605.00",$0.00,$0.00,"-$4,863,380.00","-$652,650.00","$28,397,431.87",Volatility Hedged Equity,2020-05-01,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.03,0.38,2,100.00%,40%,20%,1099,$30.64,$34.72,N/A,N/A,40.91,C,C+,N/A,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
OAEM,OneAscent Emerging Markets ETF,Equity,"$42,660,000",-2.36%,"4,257",$28.46,0.78%,No,False,4.57%,-3.18%,-0.31%,N/A,N/A,"-$11,167,000.00",$0.00,$0.00,"-$3,056,250.00","$37,452,000.00","$37,452,000.00",All Cap Equities,2022-09-15,1.25%,N/A,$0.27,2024-12-30,$0.27,0.94%,0.00,-1.00,36,56.99%,40%,20%,1099,$26.34,$30.47,$28.40,$28.51,47.77,B,C,A-,C+,B,N/A,6.14,45.96%,39.15%,185.92,8.59%,4.79%
XBTF,VanEck Bitcoin Strategy ETF,Currency,"$42,519,300",1.06%,"40,445",$39.22,0.33%,No,False,8.58%,-0.83%,70.59%,N/A,N/A,$0.00,$0.00,$0.00,$0.00,"$475,600.00","$8,314,770.00",Currency,2021-11-15,0.76%,N/A,$0.07,2023-02-01,$0.07,0.17%,0.00,1.94,11,97.77%,40%,20%,1099,$35.52,$42.89,$38.12,$39.94,53.32,B,B,A-,B,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
REIT,ALPS Active REIT ETF,Real Estate,"$42,450,800",-3.75%,"15,251",$26.05,1.40%,No,False,4.70%,-3.21%,12.99%,-1.96%,N/A,"$4,178,100.00",$0.00,"$813,200.00","$19,299,900.00","$27,331,750.00","$43,843,100.00",Real Estate,2021-02-24,0.68%,N/A,$0.82,2025-03-20,$0.20,3.15%,0.00,1.01,32,50.39%,40%,20%,1099,$24.15,$28.19,$25.83,$26.22,46.52,C+,C,B+,B+,C,N/A,5.97,41.04%,35.62%,93.53,4.31%,19.88%
AAA,Alternative Access First Priority CLO Bond ETF,Bond,"$42,232,500",0.08%,"29,576",$24.78,0.12%,No,False,0.75%,-0.66%,4.72%,5.41%,N/A,"$15,047,921.89","-$3,352.06","-$4,988,786.86","$22,549,444.51","$34,995,036.36","$34,995,036.36",Corporate Bonds,2020-09-09,0.25%,N/A,$1.48,2025-03-27,$0.11,5.97%,0.00,0.02,27,49.14%,40%,20%,1099,$24.56,$25.06,$24.70,$24.87,47.85,C,C+,N/A,A-,A-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
WLTG,WealthTrust DBS Long Term Growth ETF,Multi-Asset,"$42,109,400",-6.87%,"5,625",$27.18,0.26%,No,False,0.48%,-4.12%,8.24%,5.55%,N/A,"$5,859,900.00",$0.00,"$1,136,600.00","$16,816,800.00","$33,509,875.00","$38,447,967.50",Diversified Portfolio,2021-12-05,0.75%,N/A,$0.16,2024-12-24,$0.16,0.59%,0.06,0.65,38,55.18%,40%,20%,1099,$25.92,$29.46,$27.09,$27.29,42.46,B-,B-,N/A,A-,N/A,N/A,6.25,22.76%,42.17%,73.32,9.29%,4.73%
APRT,AllianzIM US Large Cap Buffer10 Apr ETF,Equity,"$41,660,600",-7.97%,"7,959",$35.48,0.08%,No,False,0.34%,-4.75%,4.94%,6.81%,N/A,"-$1,443,975.00","$900,877.50","$5,174,487.50","-$45,132,455.00","$15,579,450.00","$26,714,755.00",Volatility Hedged Equity,2020-05-28,0.74%,N/A,$0.00,2020-12-15,$1.22,0.00%,0.05,0.55,2,100.00%,40%,20%,1099,$34.02,$38.59,N/A,N/A,41.41,B+,B-,A-,A-,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SURE,AdvisorShares Insider Advantage ETF,Equity,"$41,645,000",-9.85%,295,$104.93,0.78%,No,False,2.33%,-5.49%,-4.22%,3.86%,13.00%,"-$520,562.60","-$520,562.60","-$520,562.60","-$3,363,214.25","-$7,846,703.60","-$24,951,477.25",All Cap Equities,2011-10-04,0.90%,N/A,$0.79,2024-12-23,$0.79,0.75%,0.04,0.98,101,12.30%,40%,20%,1099,$97.83,$117.31,$104.93,$104.93,42.48,C,C,B-,B+,A-,N/A,6.34,24.23%,45.12%,172.28,9.19%,2.27%
SPRX,Spear Alpha ETF,Equity,"$41,007,800",-29.27%,"44,311",$19.19,-0.52%,No,False,-0.98%,-11.32%,-11.49%,0.47%,N/A,"$4,516,370.00","$1,483,245.00","$2,427,710.00","-$21,846,897.50","$41,736,572.50","$47,357,832.50",Technology Equities,2021-08-02,0.75%,N/A,$0.00,2021-12-22,$0.05,0.00%,0.00,1.21,26,67.33%,40%,20%,1099,$17.15,$22.69,N/A,N/A,42.15,B-,C+,C,C,B-,N/A,5.94,34.55%,35.11%,402.78,12.94%,15.46%
LCF,Touchstone US Large Cap Focused ETF,Equity,"$40,878,800",-10.37%,"3,981",$32.50,-0.61%,No,False,-1.05%,-7.79%,3.01%,N/A,N/A,"$5,575,575.00",$0.00,"$895,250.00","$6,461,875.00","$28,466,025.00","$28,466,025.00",Large Cap Blend Equities,2022-07-29,0.56%,N/A,$0.23,2024-12-30,$0.23,0.70%,20.20,-0.95,47,48.96%,40%,20%,1099,$31.00,$37.00,$32.45,$32.62,39.50,C,B-,A,B,N/A,N/A,5.72,3.59%,30.85%,32.24,13.37%,3.97%
FCEF,First Trust Income Opportunities ETF,Multi-Asset,"$40,707,500",-3.13%,"10,317",$20.41,0.20%,No,False,2.62%,-4.20%,11.40%,3.83%,10.45%,"$4,390,600.00",$0.00,$0.00,"$9,710,600.00","$11,910,250.00","$7,450,450.00",Diversified Portfolio,2016-09-27,3.29%,N/A,$1.59,2025-04-11,$0.14,7.79%,0.04,0.95,55,34.10%,40%,20%,1099,$19.20,$22.41,$20.36,$20.51,43.04,C+,C,C+,B-,A-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
EETH,ProShares Ether ETF,Currency,"$39,980,300",-53.84%,"88,675",$29.51,-0.27%,No,False,4.87%,-18.60%,-51.16%,N/A,N/A,"$5,533,948.00",$0.00,"$4,396,704.00","$23,531,101.00","$82,718,345.00","$82,718,345.00",Currency,2023-10-02,0.95%,N/A,$6.19,2025-04-01,$0.06,20.90%,N/A,N/A,2,100.00%,40%,20%,1099,$25.73,$40.37,$29.08,$30.01,36.79,B+,C+,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
CBLS,Hedged Equity ETF,Alternatives,"$39,849,700",N/A,N/A,$26.12,0.93%,No,False,3.88%,-0.39%,N/A,N/A,N/A,"-$1,788,839.00",$0.00,"-$2,634,470.00","$27,222,268.00","$31,976,678.00","$37,948,939.00",Long-Short,2020-11-13,1.90%,N/A,$0.19,2024-12-24,$0.19,0.74%,0.04,0.52,41,59.83%,40%,20%,1099,$24.43,$27.18,$26.09,$26.18,48.42,N/A,C,N/A,N/A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
JANZ,TrueShares Structured Outcome (January) ETF,Equity,"$39,735,400",-7.45%,"10,456",$31.80,0.47%,No,False,0.55%,-4.61%,5.00%,6.86%,N/A,"$15,777,429.00",$0.00,"$335,785.00","$34,967,276.00","$35,271,866.50","$39,799,074.00",Large Cap Blend Equities,2020-12-31,0.79%,N/A,$0.93,2024-12-27,$0.93,2.91%,0.03,0.79,4,100.00%,40%,20%,1099,$30.46,$34.54,N/A,N/A,42.71,C+,B-,B+,B-,B+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
HIDV,AB US High Dividend ETF,Equity,"$39,627,300",-10.73%,"5,560",$64.10,0.22%,No,False,0.89%,-7.84%,6.77%,N/A,N/A,"$19,259,944.00",$0.00,"$10,395,020.00","$29,186,600.00","$34,880,602.00","$34,880,602.00",Large Cap Growth Equities,2023-03-22,0.45%,N/A,$1.64,2025-03-05,$0.24,2.57%,0.00,0.00,118,32.15%,40%,20%,1099,$60.73,$72.90,N/A,N/A,40.63,N/A,A-,N/A,N/A,C+,N/A,6.29,11.30%,43.46%,87.12,9.82%,6.18%
CLYH,iShares Interest Rate Hedged 10+ Year Credit Bond ETF,Bond,"$39,421,523",1.11%,"4,003",$26.25,0.08%,No,No,0.90%,N/A,6.12%,N/A,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Corporate Bonds,2015-07-22,0.16%,N/A,$0.86,2018-07-03,$0.08,3.28%,0.00,-0.42,2,100.00%,35%,15%,1099,$25.63,$26.27,$26.24,$26.25,66.97,C+,B-,A+,B-,A-,C,0.0,N/A,N/A,N/A,N/A,N/A
TUGN,STF Tactical Growth & Income ETF,Multi-Asset,"$38,911,100",-12.00%,"11,603",$20.46,-0.15%,No,False,-0.44%,-6.84%,2.35%,N/A,N/A,"$4,729,527.50",$0.00,$0.00,"-$1,060,130.00","$45,765,440.00","$45,765,440.00",Diversified Portfolio,2022-05-18,0.65%,N/A,$2.85,2025-03-26,$0.23,13.91%,0.00,-0.85,102,48.21%,40%,20%,1099,$19.39,$22.88,N/A,N/A,42.05,B+,B+,N/A,N/A,N/A,N/A,6.28,52.23%,43.22%,54.8,9.40%,8.42%
CLSA,Cabana Target Leading Sector Aggressive ETF,Multi-Asset,"$38,868,000",0.00%,"10,230",$19.38,-0.15%,No,False,0.00%,4.42%,10.02%,N/A,N/A,$0.00,$0.00,$0.00,$0.00,"-$204,469,225.00","-$310,749,875.00",Diversified Portfolio,2021-07-12,0.79%,N/A,$0.91,2023-12-26,$0.72,4.70%,0.00,0.58,5,100.00%,40%,20%,1099,$18.56,$19.78,$19.27,$19.47,66.38,A,B,C,A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FXED,Sound Enhanced Fixed Income ETF,Bond,"$38,647,400",-1.91%,"8,757",$17.52,0.81%,No,False,2.14%,-3.15%,4.47%,3.00%,N/A,$0.00,$0.00,$0.00,"$5,185,637.50","$18,523,097.50","$43,315,172.50",Total Bond Market,2020-12-30,2.33%,N/A,$1.18,2025-04-15,$0.04,6.71%,N/A,N/A,57,28.85%,40%,20%,1099,$16.77,$18.63,$17.50,$17.55,44.30,B,C,B,A-,A,N/A,5.82,24.88%,32.32%,184.16,4.46%,0.68%
HIDE,Alpha Architect High Inflation & Deflation ETF,Multi-Asset,"$38,323,000",1.24%,"10,649",$22.53,0.49%,No,False,1.85%,-0.07%,2.49%,N/A,N/A,"$4,703,128.00","$886,430.00","$2,001,775.00","$17,207,333.00","$39,906,214.05","$39,906,214.05",Diversified Portfolio,2022-11-16,0.29%,N/A,$0.64,2024-12-30,$0.64,2.83%,0.00,-0.08,6,100.00%,40%,20%,1099,$22.00,$22.96,$22.50,$22.55,51.30,B,A-,C+,A,A,N/A,5.95,0.00%,35.30%,79.9,0.70%,4.11%
DIVS,SmartETFs Dividend Builder ETF,Equity,"$38,226,400",0.11%,"4,989",$28.36,0.78%,No,False,2.15%,-3.91%,11.27%,7.45%,N/A,"-$569,846.00",$0.00,$0.00,"$5,374,382.00","$11,792,706.00","$9,609,032.00",Global Equities,2021-03-29,0.65%,N/A,$0.77,2025-03-28,$0.11,2.71%,18.75,0.75,36,32.60%,40%,20%,1099,$26.84,$30.22,$28.28,$28.49,46.36,C+,B,N/A,A,A-,A,7.34,70.41%,84.19%,25.65,5.64%,3.93%
PSCQ,Pacer Swan SOS Conservative (October) ETF,Equity,"$37,697,700",-5.08%,"6,871",$25.13,0.08%,No,False,0.01%,-3.30%,1.06%,6.73%,N/A,"$3,368,077.50",$0.00,"-$648,792.50","$29,891,547.50","$33,209,945.00","$37,371,571.99",Large Cap Blend Equities,2021-09-30,0.61%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.38,2,100.00%,40%,20%,1099,$24.47,$26.62,$25.10,$25.18,41.78,C+,C+,A-,A+,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
THY,Toews Agility Shares Dynamic Tactical Income ETF,Bond,"$36,732,800",-1.11%,"13,841",$21.91,-0.14%,No,False,-0.07%,-0.75%,3.31%,1.89%,N/A,"$2,217,750.00","$548,250.00","$1,096,250.00","$5,664,000.00","$5,426,250.00","$38,898,475.25",High Yield Bonds,2020-06-25,1.15%,N/A,$1.06,2025-03-14,$0.10,4.82%,0.00,0.18,1,100.00%,40%,20%,1099,$21.84,$22.08,$21.90,$21.92,40.80,C+,C,N/A,A,N/A,N/A,5.64,11.46%,29.61%,243.69,7.02%,3.33%
SSFI,Day Hagan/Ned Davis Research Smart Sector Fixed Income ETF,Bond,"$36,604,500",2.10%,"14,863",$21.15,-0.24%,No,False,0.75%,0.04%,5.57%,0.23%,N/A,"-$2,649,750.00","$527,500.00","$4,799,000.00","-$2,668,750.00","$14,363,250.00","$40,416,250.00",Total Bond Market,2021-09-29,0.81%,N/A,$0.77,2025-03-28,$0.12,3.61%,0.00,0.28,8,100.01%,40%,20%,1099,$20.92,$21.50,$21.14,$21.16,49.91,C+,C,N/A,B+,C,N/A,6.07,59.38%,37.71%,228.33,2.17%,0.52%
SSXU,Day Hagan/Ned Davis Research Smart Sector International ETF,Equity,"$36,033,300",2.87%,"7,084",$28.54,0.88%,No,False,4.79%,-3.45%,6.94%,N/A,N/A,"$1,564,255.68",$0.00,"$3,686,670.80","$2,103,612.25","$32,858,724.75","$32,858,724.75",Global Equities,2022-07-01,1.25%,N/A,$0.76,2024-12-27,$0.76,2.69%,0.00,-1.02,17,79.53%,40%,20%,1099,$26.17,$30.63,$28.52,$28.57,49.81,B,C,N/A,B+,C+,N/A,7.12,14.64%,77.60%,196.43,10.31%,5.29%
GHTA,Goose Hollow Tactical Allocation ETF,Multi-Asset,"$35,841,200",-1.57%,"7,057",$27.76,1.24%,No,False,2.60%,-7.93%,6.34%,6.56%,N/A,"-$2,046,067.33","-$1,380,353.54","-$2,057,729.61","$759,268.53","$29,319,266.03","$31,165,911.03",Hedge Fund,2021-11-15,1.49%,N/A,$0.70,2024-12-27,$0.03,2.51%,0.00,0.59,30,70.49%,40%,20%,1099,$26.11,$30.70,$27.69,$27.89,42.61,B+,C,N/A,A-,N/A,N/A,5.94,7.84%,35.20%,146.2,1.66%,6.48%
IEIH,iShares Evolved U.S. Innovative Healthcare ETF,Equity,"$35,830,000",-3.08%,"3,144",$34.13,0.00%,No,False,-1.58%,1.54%,-5.31%,14.40%,N/A,$0.00,$0.00,$0.00,$0.00,"$3,306,360.00","$25,255,415.00",Health & Biotech Equities,2018-03-21,0.18%,N/A,$0.97,2021-09-24,$0.12,2.79%,28.45,0.73,258,66.18%,40%,20%,1099,$33.10,$34.83,$34.05,$34.18,54.07,B-,A,C,B+,A+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
GDMN,WisdomTree Efficient Gold Plus Gold Miners Strategy Fund,Multi-Asset,"$35,631,400",N/A,N/A,N/A,0.00%,No,False,N/A,N/A,N/A,N/A,N/A,"$9,868,100.00","$2,545,100.00","$4,966,500.00","$17,484,135.00","$17,873,635.00","$25,627,837.04",Diversified Portfolio,2021-12-16,0.45%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53,61.55%,40%,20%,1099,N/A,N/A,N/A,N/A,"",N/A,A-,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
DWMF,WisdomTree International Multifactor Fund,Equity,"$35,395,200",10.32%,"4,821",$29.65,0.71%,No,False,4.20%,2.36%,19.01%,9.30%,10.31%,"$2,860,100.00","$2,839,700.00","$2,839,700.00","-$10,619,360.00","-$3,516,230.00","-$11,921,190.00",Foreign Large Cap Equities,2018-08-10,0.38%,N/A,$0.89,2025-03-26,$0.05,2.99%,10.27,0.59,200,10.78%,40%,20%,1099,$27.47,$30.27,$29.62,$29.70,59.03,B-,B+,B,A,B-,N/A,7.68,66.19%,92.19%,122.55,11.05%,9.97%
IYRI,NEOS Real Estate High Income ETF,Equity,"$35,369,200",N/A,N/A,N/A,0.00%,No,False,N/A,N/A,N/A,N/A,N/A,"$36,929,333.00","$2,427,510.00","$11,846,318.00","$36,929,333.00","$36,929,333.00","$36,929,333.00",Real Estate,2025-01-14,0.68%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69,47.33%,40%,20%,1099,N/A,N/A,N/A,N/A,"",N/A,N/A,N/A,N/A,N/A,N/A,6.33,64.79%,44.71%,79.37,3.54%,16.57%
IEHS,iShares Evolved U.S. Healthcare Staples ETF,Equity,"$35,177,900",-8.79%,"7,606",$41.40,0.00%,No,False,-1.14%,3.94%,-4.87%,13.69%,N/A,$0.00,$0.00,$0.00,$0.00,"-$4,049,515.00","$17,491,720.00",Health & Biotech Equities,2018-03-21,0.18%,N/A,$0.31,2021-09-24,$0.10,0.71%,33.32,0.82,159,55.92%,40%,20%,1099,$40.19,$41.90,$41.32,$41.44,58.44,C+,A,B,A-,A-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
GABF,Gabelli Financial Services Opportunities ETF,Equity,"$35,168,300",-10.14%,"9,825",$40.85,0.39%,No,False,1.43%,-5.31%,19.81%,N/A,N/A,"$1,470,075.00",$0.00,"-$2,905,455.00","$22,677,035.00","$28,038,385.00","$28,038,385.00",Financials Equities,2022-05-10,0.10%,N/A,$1.91,2024-12-27,$1.91,4.69%,0.00,1.66,42,53.45%,40%,20%,1099,$37.82,$46.54,$40.73,$41.09,42.79,C+,A,B+,C,B+,N/A,5.19,4.47%,23.57%,18.21,13.32%,0.20%
NVBT,AllianzIM U.S. Large Cap Buffer10 Nov ETF,Equity,"$35,114,900",-6.32%,"2,733",$30.59,0.16%,No,False,0.45%,-4.37%,1.87%,N/A,N/A,"$836,710.00",$0.00,$0.00,"$26,524,197.50","$28,593,257.50","$28,593,257.50",Volatility Hedged Equity,2022-10-31,0.74%,N/A,$0.00,N/A,N/A,0.00%,0.05,-0.78,2,100.00%,40%,20%,1099,$29.35,$33.10,N/A,N/A,42.31,B,B,N/A,B+,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
AADR,AdvisorShares Dorsey Wright ADR ETF,Equity,"$35,086,600",2.46%,"8,537",$70.70,0.71%,No,False,7.22%,-8.18%,20.03%,8.88%,11.47%,"$12,240,944.75",$0.00,"$1,492,725.45","$6,688,264.65","-$24,987,734.80","-$56,417,610.10",Global Equities,2010-07-20,1.10%,N/A,$0.92,2025-03-21,$0.02,1.30%,0.08,0.99,37,42.52%,40%,20%,1099,$62.63,$80.61,$70.35,$71.41,46.99,B-,C,C+,A-,B,B-,6.14,0.60%,39.34%,358.58,10.43%,4.56%
MEMX,Matthews Emerging Markets ex China Active ETF,Equity,"$35,074,600",-5.15%,"2,043",$27.49,1.18%,No,False,3.96%,-2.26%,-0.75%,N/A,N/A,"-$589,360.00",$0.00,$0.00,"$24,625,720.00","$35,190,400.00","$35,190,400.00",Emerging Markets Equities,2023-01-11,0.79%,N/A,$0.29,2024-12-18,$0.29,1.05%,0.08,0.96,79,33.00%,40%,20%,1099,$25.45,$29.47,$27.47,$27.54,47.73,B-,C+,N/A,N/A,C,N/A,6.16,48.50%,39.95%,84.29,0.85%,4.12%
XUSP,Innovator Uncapped Accelerated U.S. Equity ETF,Equity,"$35,049,000",-12.65%,"18,089",$35.08,0.11%,No,False,0.08%,-7.28%,6.38%,N/A,N/A,"-$6,908,952.50",$0.00,"-$10,019,772.50","$13,551,650.00","$34,805,353.12","$34,805,353.12",Large Cap Growth Equities,2022-08-10,0.79%,N/A,$0.00,N/A,N/A,0.00%,0.05,1.07,2,100.00%,40%,20%,1099,$32.99,$39.60,N/A,N/A,40.84,B-,C+,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
